ff861cb2900085{"ppm": 459, "dt": "2020-11-25T17:41:36.613976"}
ff861c82900088{"ppm": 456, "dt": "2020-11-25T17:42:08.674953"}
ff861c6290008a{"ppm": 454, "dt": "2020-11-25T17:42:40.735612"}
ff861c92900087{"ppm": 457, "dt": "2020-11-25T17:43:12.796064"}
ff861cc2900084{"ppm": 460, "dt": "2020-11-25T17:43:44.856626"}
ff861ca2900086{"ppm": 458, "dt": "2020-11-25T17:44:16.917371"}
ff861cd2900083{"ppm": 461, "dt": "2020-11-25T17:44:48.955145"}
ff861d02900080{"ppm": 464, "dt": "2020-11-25T17:45:21.015911"}
ff861cf2900081{"ppm": 463, "dt": "2020-11-25T17:45:53.076993"}
ff861cd2900083{"ppm": 461, "dt": "2020-11-25T17:46:25.137630"}
ff861cc2900084{"ppm": 460, "dt": "2020-11-25T17:46:57.171283"}
ff861c6290008a{"ppm": 454, "dt": "2020-11-25T17:47:29.231609"}
ff861c4290008c{"ppm": 452, "dt": "2020-11-25T17:48:01.292417"}
ff861bf2900091{"ppm": 447, "dt": "2020-11-25T17:48:33.352901"}
ff861bc2900094{"ppm": 444, "dt": "2020-11-25T17:49:05.410784"}
ff861bc2900094{"ppm": 444, "dt": "2020-11-25T17:49:37.471519"}
ff861c2290008e{"ppm": 450, "dt": "2020-11-25T17:50:09.531994"}
ff861c5290008b{"ppm": 453, "dt": "2020-11-25T17:50:41.592445"}
ff861c5290008b{"ppm": 453, "dt": "2020-11-25T17:51:13.652562"}
ff861c2290008e{"ppm": 450, "dt": "2020-11-25T17:51:45.712882"}
ff861bb2900095{"ppm": 443, "dt": "2020-11-25T17:52:17.772934"}
ff861b82900098{"ppm": 440, "dt": "2020-11-25T17:52:49.833553"}
ff861b72900099{"ppm": 439, "dt": "2020-11-25T17:53:21.893547"}
ff861b72900099{"ppm": 439, "dt": "2020-11-25T17:53:53.953912"}
ff861b6290009a{"ppm": 438, "dt": "2020-11-25T17:54:26.014139"}
ff861b82900098{"ppm": 440, "dt": "2020-11-25T17:54:58.050233"}
ff861b82900098{"ppm": 440, "dt": "2020-11-25T17:55:30.110941"}
ff861ba2900096{"ppm": 442, "dt": "2020-11-25T17:56:02.171048"}
ff861bc2900094{"ppm": 444, "dt": "2020-11-25T17:56:34.231102"}
ff861bc2900094{"ppm": 444, "dt": "2020-11-25T17:57:06.297844"}
ff861ba2900096{"ppm": 442, "dt": "2020-11-25T17:57:38.358230"}
